,0,1,2,3,4,5,6,7,8,9
0,0.5,0.6,0.5,0.6,0.8,0.8,0.6,0.8,0.7,0.7
1,0.7,0.7,0.8,0.8,1.0,0.5,0.4,0.5,0.7,0.7
2,0.5,0.5,0.7,0.5,0.6,0.6,0.6,0.9,0.8,1.0
3,0.6,0.3,0.5,0.5,0.7,0.6,0.4,0.4,0.5,0.4
4,0.7,1.0,0.8,0.4,0.4,0.6,0.4,0.6,0.5,0.8
5,0.3,0.6,0.5,0.0,0.6,0.1,0.7,0.5,0.4,0.7
6,0.7,0.5,0.7,0.6,0.8,0.8,0.9,1.0,0.9,0.8
7,0.5,0.9,0.6,0.4,0.1,0.0,0.2,0.1,0.3,0.1
8,0.6,0.8,0.8,0.8,0.9,0.4,0.5,0.5,0.7,0.6
9,0.5,0.4,0.2,0.1,0.4,0.5,0.6,0.3,0.6,0.4
10,0.6,0.5,0.6,0.3,0.6,0.7,0.3,0.7,0.5,0.4
11,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5
12,0.6,0.3,0.6,0.5,0.4,0.5,0.4,0.6,0.5,0.6
13,0.6,0.0,0.9,0.3,0.3,1.0,0.8,0.7,0.4,0.8
14,0.3,0.3,0.7,0.5,0.7,0.4,0.2,0.3,0.4,0.6
15,0.6,0.5,0.5,0.4,0.4,0.4,0.6,0.4,0.4,0.5
16,0.7,0.6,0.5,0.6,0.4,0.4,0.2,0.5,0.5,0.6
17,0.5,0.7,0.6,0.5,0.6,0.1,0.6,0.1,0.4,0.0
18,0.5,0.5,0.6,0.4,0.6,0.3,0.5,0.3,0.4,0.6
19,0.9,0.8,0.4,0.2,0.4,0.3,0.3,0.6,0.3,0.2
20,0.5,0.6,0.6,0.7,0.5,0.7,0.5,0.5,0.6,0.6
21,0.6,0.5,1.0,0.3,0.4,0.4,0.5,0.3,0.3,0.3
22,0.6,0.5,0.8,0.5,0.7,0.6,0.3,0.7,0.7,0.8
23,0.7,0.9,1.0,1.0,1.0,0.8,1.0,0.7,1.0,1.0
24,0.3,0.7,0.7,0.8,0.6,0.7,0.7,0.6,0.5,0.7
25,0.8,0.1,0.4,0.0,0.3,0.2,0.8,0.3,0.1,1.0
26,0.5,0.0,0.0,0.5,0.0,0.4,0.7,0.5,0.5,0.5
27,0.5,0.8,0.5,0.7,0.8,0.6,0.7,0.5,0.6,0.3
28,0.3,0.8,0.7,0.6,0.2,0.7,0.1,1.0,0.3,0.5
29,0.0,0.3,0.4,0.6,0.3,0.5,0.5,0.6,0.7,0.5
30,0.4,0.7,0.3,0.4,0.5,0.4,0.5,0.5,0.4,0.4
31,0.8,0.8,0.3,0.7,0.7,0.6,0.6,0.4,0.6,0.5
32,0.7,0.7,0.6,0.6,0.3,0.3,0.1,0.1,0.1,0.0
33,0.9,0.0,0.9,1.0,1.0,0.5,0.0,0.0,0.0,0.0
34,0.7,0.9,1.0,0.9,0.6,0.2,0.1,0.9,0.0,0.0
35,0.6,0.7,0.2,0.4,0.0,0.4,0.4,0.4,0.1,0.3
36,0.8,0.8,0.8,1.0,0.5,1.0,0.5,0.9,0.9,1.0
37,0.5,0.7,0.5,0.2,0.3,0.3,0.3,0.4,0.4,0.3
38,0.5,0.8,0.6,0.6,0.5,0.2,0.4,0.5,0.7,0.7
39,0.4,0.2,0.5,0.4,0.6,0.5,0.1,0.1,0.0,0.1
40,0.8,0.9,0.5,0.6,0.8,0.3,0.5,0.4,0.7,0.7
41,0.8,0.7,0.8,0.6,0.7,0.7,0.4,0.7,0.5,0.5
42,0.6,0.6,0.6,0.6,0.7,0.7,0.5,0.6,0.4,0.6
43,0.5,0.8,0.5,0.6,0.9,0.5,0.3,0.4,0.3,0.6
