,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spectral warp,[1 0 0 0 0 1 0 0 0 0 2 0 0 2 1],"([0.17560971894372487], 11.0)","([-0.0059022548998220944], 8.0)","([0.18057691485568877], 11.0)","([0.0], 7.0)","([0.20399539439084433], 10.0)","([0.15984685475949242], 11.0)","([0.17924263746140867], 11.0)"
1,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff prop,[0 1 1 1 1 0 1 1 1 1 2 1 1 3 4],"([0.30291255260268735], 19.0)","([-0.028983156656183708], 5.0)","([0.27801473731870457], 19.0)","([-0.005747126436781588], 6.0)","([0.28032563721679998], 18.0)","([0.27572288761663138], 19.0)","([0.27800521254702293], 19.0)"
2,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,pca,[0 1 1 1 1 0 1 1 1 1 1 1 1 0 0],"([0.021976333389556513], 2.0)","([-0.064222814708030804], 4.0)","([0.027532824929194722], 2.0)","([-0.05089058524173022], 3.0)","([0.037895772472750604], 1.0)","([0.020003720708603467], 2.0)","([0.026185253339171221], 2.0)"
3,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spectral overlap,[0 1 2 2 2 1 2 1 2 2 2 2 1 2 0],"([0.069766419168606542], 3.0)","([-0.11771040271197691], 1.0)","([0.069109822705336624], 3.0)","([-0.09439528023598823], 1.0)","([0.075210344381079777], 2.0)","([0.063504131428556196], 3.0)","([0.068863290099839478], 3.0)"
4,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_choice,[0 0 1 1 1 1 1 0 1 1 2 1 0 2 0],"([0.22733769780907526], 15.0)","([0.056416433999645424], 18.0)","([0.22021020745439615], 15.0)","([0.03669724770642204], 17.0)","([0.2343407885549218], 15.0)","([0.20693169023685834], 15.0)","([0.21978499814845692], 16.0)"
5,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_ent,[0 1 1 1 1 0 1 1 1 1 1 1 1 2 0],"([0.079512747879912637], 4.0)","([-0.095756672611432309], 2.0)","([0.088795594584305235], 4.0)","([-0.05729166666666673], 2.0)","([0.1089407922827261], 4.0)","([0.072375622137186388], 4.0)","([0.086971250151904503], 4.0)"
6,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_con,[2 2 1 1 1 1 1 2 1 1 2 1 2 0 2],"([0.17441604792151588], 7.0)","([0.015452759733605482], 15.0)","([0.17715498888096914], 7.0)","([0.02949852507374628], 13.0)","([0.19768093432298389], 6.0)","([0.15876032857139005], 7.0)","([0.176095718158851], 7.0)"
7,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_cos_cat,[2 0 0 0 0 2 0 0 0 0 1 0 0 1 2],"([0.17560971894372487], 11.0)","([-0.0059022548998220944], 8.0)","([0.18057691485568877], 11.0)","([0.0], 7.0)","([0.20399539439084433], 10.0)","([0.15984685475949242], 11.0)","([0.17924263746140867], 11.0)"
8,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_cos_cat,[0 1 1 1 1 2 1 1 1 1 3 1 1 4 5],"([0.39533217667734677], 21.0)","([0.0051087678754458358], 11.0)","([0.34825081359529164], 22.0)","([0.005797101449275342], 12.0)","([0.33702845409289578], 20.0)","([0.35984685475949241], 21.0)","([0.34806407295303299], 22.0)"
9,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_cos_ent,[2 1 1 1 1 2 1 1 1 1 0 1 1 0 2],"([0.17560971894372487], 11.0)","([-0.005902271235184468], 6.0)","([0.18057691485568877], 11.0)","([0.0], 7.0)","([0.20399539439084433], 10.0)","([0.15984685475949242], 11.0)","([0.17924263746140867], 11.0)"
10,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_cos_ent,[2 1 0 1 0 2 0 0 0 1 2 0 1 2 2],"([0.10003486415011278], 5.0)","([-0.081780335395350096], 3.0)","([0.091617101198257805], 5.0)","([-0.039603960396039625], 4.0)","([0.092182006846301873], 3.0)","([0.091055657379719407], 5.0)","([0.091615370316206396], 5.0)"
11,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_rbf,[2 1 1 1 1 2 1 1 1 1 0 1 1 0 2],"([0.17560971894372487], 11.0)","([-0.005902271235184468], 6.0)","([0.18057691485568877], 11.0)","([0.0], 7.0)","([0.20399539439084433], 10.0)","([0.15984685475949242], 11.0)","([0.17924263746140867], 11.0)"
12,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_esk_sim,[1 1 0 0 0 0 0 1 0 0 2 0 1 2 1],"([0.22733769780907526], 15.0)","([0.056416433999645424], 18.0)","([0.22021020745439615], 15.0)","([0.03669724770642204], 17.0)","([0.2343407885549218], 15.0)","([0.20693169023685834], 15.0)","([0.21978499814845692], 16.0)"
13,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_esk_sim,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"([3.3306690738754696e-16], 1.0)","([3.0317056419543327e-16], 10.0)","([3.3306690738754696e-06], 1.0)","([0.0], 7.0)","([1.0], 22.0)","([3.0317056419543327e-16], 1.0)","([6.0634112839086644e-16], 1.0)"
14,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_lin_sim,[0 0 2 2 2 2 2 0 2 2 1 2 0 1 0],"([0.22733769780907526], 15.0)","([0.056416449227046736], 20.0)","([0.22021020745439615], 15.0)","([0.03669724770642204], 17.0)","([0.2343407885549218], 15.0)","([0.20693169023685834], 15.0)","([0.21978499814845692], 16.0)"
15,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_lin_sim,[0 0 1 1 1 1 1 0 1 1 0 1 0 0 0],"([0.13298447128527396], 6.0)","([0.052549155724644671], 17.0)","([0.15263839207842436], 6.0)","([0.0784313725490196], 21.0)","([0.19247356326325979], 5.0)","([0.12104768229608666], 6.0)","([0.14862456095899015], 6.0)"
16,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,comp_hr_esk_dis,[2 2 1 1 1 1 1 2 1 1 0 1 2 0 2],"([0.22733769780907526], 15.0)","([0.056416449227046736], 20.0)","([0.22021020745439615], 15.0)","([0.03669724770642204], 17.0)","([0.23434078855492177], 14.0)","([0.20693169023685834], 15.0)","([0.21978499814845689], 15.0)"
17,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,avg_hr_esk_dis,[0 0 1 1 1 1 1 0 1 1 0 1 0 2 0],"([0.17441604792151588], 7.0)","([0.015452728475759792], 12.0)","([0.17715498888096914], 7.0)","([0.02949852507374628], 13.0)","([0.19768093432298389], 6.0)","([0.15876032857139005], 7.0)","([0.176095718158851], 7.0)"
18,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,comp_hr_lin_din,[0 0 1 1 1 1 1 0 1 1 0 1 0 2 0],"([0.17441604792151588], 7.0)","([0.015452728475759792], 12.0)","([0.17715498888096914], 7.0)","([0.02949852507374628], 13.0)","([0.19768093432298389], 6.0)","([0.15876032857139005], 7.0)","([0.176095718158851], 7.0)"
19,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,avg_hr_lin_dis,[0 0 1 1 1 1 1 0 1 1 0 1 0 2 0],"([0.17441604792151588], 7.0)","([0.015452728475759792], 12.0)","([0.17715498888096914], 7.0)","([0.02949852507374628], 13.0)","([0.19768093432298389], 6.0)","([0.15876032857139005], 7.0)","([0.176095718158851], 7.0)"
20,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_edr,[2 0 0 0 0 2 0 0 0 0 1 0 0 1 1],"([0.30291255260268746], 20.0)","([0.13283431164183482], 22.0)","([0.31148056354206366], 20.0)","([0.0784313725490196], 21.0)","([0.35187554541855648], 21.0)","([0.27572288761663144], 20.0)","([0.30917904302365223], 20.0)"
21,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_edr,[0 2 1 1 2 2 1 1 1 2 3 2 2 4 5],"([0.43483015086444698], 22.0)","([0.031690502310224765], 16.0)","([0.34394243454855272], 21.0)","([-0.007017543859649141], 5.0)","([0.29887963518794414], 19.0)","([0.39579946023688528], 22.0)","([0.34057854644623092], 21.0)"
22,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,spectral warp,[2 1 1 0 1 0 0 1 2 0 2 2 0 2 1],"([0.14834174943487538], 3.0)","([-0.028735960144649127], 3.0)","([0.13502647928207306], 3.0)","([0.02000000000000001], 4.0)","([0.13502647928207306], 2.0)","([0.13502647928207306], 3.0)","([0.13502647928207306], 3.0)"
23,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,aff prop,[2 1 1 0 1 0 0 1 1 0 2 2 0 2 1],"([0.22733769780907537], 14.0)","([0.056129553924292808], 7.0)","([0.2082076188467491], 6.0)","([0.052805280528052785], 7.0)","([0.20949141475727254], 6.0)","([0.20693169023685845], 14.0)","([0.20820368527074951], 6.0)"
24,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,pca,[1 0 0 0 0 0 0 0 0 0 1 1 0 1 0],"([0.18877714123561917], 5.0)","([0.10065485294851984], 18.0)","([0.23650751415812302], 10.0)","([0.09160305343511456], 20.0)","([0.32552543982250248], 21.0)","([0.17183235904313526], 5.0)","([0.22493184737760971], 10.0)"
25,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,spectral overlap,[0 1 0 1 2 1 2 1 0 1 0 0 2 0 0],"([0.20855932607888633], 6.0)","([0.034595528127314243], 6.0)","([0.19476354932177486], 5.0)","([0.05769230769230773], 17.0)","([0.19981597136047052], 5.0)","([0.18983887967585991], 6.0)","([0.19469969406785939], 5.0)"
