,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,"[0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0
 1 0 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 1 0 1 0 1 0
 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1]",0.0023075187623,-0.00411196544823,0.0035656870777,-0.0157217257605,0.0035656870777,0.0035656870777,0.0035656870777,23.0,25.0,21.0,7.0,19.0,23.0,21.0
1,2.0,aff prop,"[ 5  0  4  1  2 11  5  5  8  0 11  3  4 11  5  4 11  6  0  4  0  5  0  5 11
  4  5  5  0  0  5  8  0  5  0 11  0  6  5  5  5  9  7  5  4  0  6  8 11 11
  0  0  0  5  9  9  0  0  9  8  5  8 10  0  4  5  5  0  2  5  6  5  9  5  0
  5  0  5  5  5  0 11  2  5  0 11  6  2  5  8  0 11  0  5 11 11  0  4  6  0
  0  0  3]",0.0621499360235,-0.000873906029419,0.0548541190744,-0.00550674523656,0.0313314011973,0.0960370192343,0.0472483582544,39.0,34.0,39.0,31.0,35.0,39.0,39.0
2,2.0,pca,"[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.73989872832e-05,-0.00968228802153,5.95996896615e-05,-0.00225721888132,0.000132119231797,2.68857376738e-05,4.46793961167e-05,1.0,3.0,1.0,35.0,2.0,1.0,1.0
3,2.0,spectral overlap,"[0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]",0.000592810654851,-0.0068578414649,0.0010232136829,-0.0150411836084,0.00114292752315,0.000916039048548,0.00101698226213,14.0,15.0,13.0,9.0,13.0,14.0,13.0
4,2.0,km_choice,"[0 0 1 1 1 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0
 0 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0
 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 0 1]",0.00381837849252,-0.00174102357954,0.00587396499146,0.0120364307712,0.00584770891451,0.00590033895758,0.00587390604746,26.0,32.0,24.0,44.0,24.0,26.0,26.0
5,2.0,km_ent,"[0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.00192208736543,-0.00629859995067,0.00589595518779,0.0132307174699,0.0117040788211,0.00297010026228,0.00473788514898,21.0,18.0,25.0,45.0,29.0,21.0,24.0
6,2.0,km_con,"[1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0]",0.00249367084788,-0.00393388921,0.00448311088798,0.0182278890476,0.00521581102251,0.00385333808054,0.00443223129437,25.0,27.0,23.0,51.0,21.0,25.0,23.0
7,2.0,spect_cos_cat,"[0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1
 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 0 1 1 1 0 0 1 1 0 1
 0 1 0 0 1 0 1 0 1 0 1 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1 1 0]",0.00976543433547,0.0072292586874,0.0148059396226,-0.00778779999991,0.0145272161284,0.0150900107886,0.0148032662694,34.0,46.0,32.0,27.0,32.0,34.0,34.0
8,2.0,aff_cos_cat,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0.0102947495181,0.00618606105515,0.0547374595311,0.0166630564715,0.188345610767,0.0159079336318,0.0293379435324,36.0,45.0,38.0,48.0,52.0,36.0,38.0
9,2.0,spect_cos_ent,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.00420064375928,-0.00332386980376,0.0223349356265,-0.00895328407423,0.0768520703746,0.00649103331908,0.011970980857,28.0,28.0,34.0,22.0,48.0,28.0,31.0
10,2.0,aff_cos_ent,"[ 8  5  0  1  2  5 12  9  6 12 12  3 12  8  5  6  9 10  9  4  5  5  5  8  5
  5  5  5  5  5  6  7  5  8 12  8  9 10 12 12 12 13 11 12  6  5 13 12  8 13
  5  5  5  5 14 14  8  9 13 12  5 12 15  5  8  8  9  5  2  5 16  5  5  5  6
  5  8  5  5  5  5 12  2  5  5  6 10 17 12 12  6 12  5  8 12 12  6  8 18  5
  6  5  2]",0.104215715209,-0.00230549382123,0.0876912519095,-0.00973227780014,0.0477508757543,0.16103904986,0.0736602174538,47.0,30.0,48.0,20.0,45.0,47.0,49.0
11,2.0,spect_rbf,"[0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0
 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1]",0.00132363965,-0.00574239195509,0.00234524970969,-0.019010973836,0.00268912151543,0.00204535056123,0.00232346758487,18.0,21.0,16.0,4.0,16.0,18.0,18.0
12,2.0,spect_esk_sim,"[1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0.000927109217346,-0.00785038018205,0.00284388446538,-0.0104975654433,0.00564540382022,0.00143261299103,0.00228529518031,16.0,8.0,19.0,18.0,22.0,16.0,16.0
13,2.0,aff_esk_sim,"[ 0 12  1  1  2 17 10  3 10  8  7  3 11  4 14  2 11 18 10  5  5 13  8 10 18
 17 17  1 12 16 15  2  9  9  0  3  5  6 11 17  7  1  3  8  4  1 13  2  9 18
 14  9 16 12 13  4  6 12 10 17 17 18 11  0  7 12  8 15 13 17 10 14 10 15  6
  6  5  3  6 17  7 17  8 17 14 12 13  3 15  2  9  1  5 16  4 18 11 10 17 16
  8  0 18]",0.0476580969874,-0.0200393749762,0.0347677666148,-0.00877351962803,0.0164141691463,0.0736435444652,0.026844954128,38.0,1.0,37.0,24.0,34.0,38.0,36.0
